"No.","Time","Source","Destination","Protocol","Length","Info"
"4441","163.027769726","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3264239 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4442","163.027776837","173.194.163.223","192.168.1.65","TLSv1.2","1458","Application Data [TCP segment of a reassembled PDU]"
"4443","163.027780116","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3267023 Win=2176768 Len=0 TSval=3603674545 TSecr=2605138434"
"4444","163.027786687","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3267023 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4445","163.027793585","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3268415 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4446","163.027798552","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3269807 Win=2176768 Len=0 TSval=3603674545 TSecr=2605138434"
"4447","163.027806244","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3269807 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4448","163.027813741","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3271199 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4449","163.027817966","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3272591 Win=2176768 Len=0 TSval=3603674545 TSecr=2605138434"
"4450","163.027827596","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3272591 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4451","163.027835263","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3273983 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4452","163.027840924","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3275375 Win=2176768 Len=0 TSval=3603674545 TSecr=2605138434"
"4453","163.027847105","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3275375 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4454","163.027854450","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3276767 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4455","163.027858202","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3278159 Win=2176768 Len=0 TSval=3603674545 TSecr=2605138434"
"4456","163.027867607","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3278159 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4457","163.027878846","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3279551 Ack=6440 Win=78592 Len=1392 TSval=2605138434 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4458","163.027882614","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3280943 Win=2176768 Len=0 TSval=3603674545 TSecr=2605138434"
"4459","163.027890204","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3280943 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4460","163.027896914","173.194.163.223","192.168.1.65","TLSv1.2","1458","Application Data [TCP segment of a reassembled PDU]"
"4461","163.027902945","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3283727 Win=2176768 Len=0 TSval=3603674545 TSecr=2605138435"
"4462","163.029631091","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3283727 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4463","163.029675721","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3285119 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4464","163.029701063","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3286511 Win=2176768 Len=0 TSval=3603674546 TSecr=2605138435"
"4465","163.029741984","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3286511 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4466","163.029760828","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3287903 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4467","163.029769992","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3289295 Win=2176768 Len=0 TSval=3603674547 TSecr=2605138435"
"4468","163.029787192","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3289295 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4469","163.029801736","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3290687 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4470","163.029814719","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3292079 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4471","163.029820125","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3292079 Win=2176768 Len=0 TSval=3603674547 TSecr=2605138435"
"4472","163.029827054","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3293471 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4473","163.029839480","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3294863 Win=2176768 Len=0 TSval=3603674547 TSecr=2605138435"
"4474","163.029841498","173.194.163.223","192.168.1.65","TCP","374","443  >  55680 [PSH, ACK] Seq=3294863 Ack=6440 Win=78592 Len=308 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4475","163.029859673","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3295171 Win=2176768 Len=0 TSval=3603674547 TSecr=2605138435"
"4476","163.029865139","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3295171 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4477","163.029881149","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3296563 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4478","163.029890728","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3297955 Win=2176768 Len=0 TSval=3603674547 TSecr=2605138435"
"4479","163.029905863","173.194.163.223","192.168.1.65","TLSv1.2","1458","Application Data [TCP segment of a reassembled PDU]"
"4480","163.029921165","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3299347 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4481","163.029931613","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3300739 Win=2176768 Len=0 TSval=3603674547 TSecr=2605138435"
"4482","163.029944944","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3300739 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4483","163.029959865","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3302131 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4484","163.029968692","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3303523 Win=2176768 Len=0 TSval=3603674547 TSecr=2605138435"
"4485","163.029982898","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3303523 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4486","163.029999630","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3304915 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4487","163.030010970","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3306307 Win=2176768 Len=0 TSval=3603674547 TSecr=2605138435"
"4488","163.030024662","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3306307 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4489","163.030037568","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3307699 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4490","163.030045747","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3309091 Win=2176768 Len=0 TSval=3603674547 TSecr=2605138435"
"4491","163.030058139","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3309091 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
